company,sector,stage,revenue_usd_k,mom_growth_pct,cac_usd,ltv_usd,monthly_burn_usd_k,runway_months,competition,founder_experience_score,team_size,sector_median_arr_multiple
PivotHealth,Fintech,Seed,18.47,7.8,88.4,373.9,140.9,15.4,Low,1,8,7.1
KairosNetworks,Fintech,Seed,44.38,19.0,269.1,753.8,76.8,21.3,Low,7,24,7.9
BoltCloud,ClimateTech,Pre-Seed,3.04,21.5,226.1,428.7,20.4,12.6,Low,7,8,11.7
KiteFoods,D2C,Series A,134.03,5.9,69.6,267.3,195.5,23.7,Low,2,27,7.9
PivotEnergy,ClimateTech,Pre-Seed,2.84,40.2,430.0,1698.2,27.1,16.3,High,4,13,10.5
HaloLearning,DeepTech / AI,Pre-Seed,2.59,46.1,61.9,286.4,203.2,11.4,Low,4,39,16.3
ZephyrWorks,Logistics,Seed,55.3,14.2,181.0,327.3,144.7,8.5,High,7,60,12.2
LumenWorks,Consumer Internet,Seed,10.0,5.9,92.5,339.9,200.1,11.9,Low,7,27,12.3
MeridianAnalytics,AgriTech,Series A,263.8,3.2,440.8,1736.9,138.9,8.6,High,6,10,8.1
FernRobotics,Fintech,Series A,267.72,7.0,315.3,465.2,229.0,21.3,Medium,9,41,6.8
LumenCloud,Consumer Internet,Seed,47.82,15.6,30.3,66.3,14.7,22.5,Medium,4,6,7.4
SableHealth,SaaS,Seed,49.88,24.6,333.6,405.7,168.3,22.9,Low,5,36,16.2
VaultWorks,DeepTech / AI,Series A,219.37,13.7,257.4,1001.6,99.6,21.9,Medium,2,18,7.1
ZephyrLabs,D2C,Seed,37.36,5.1,433.5,385.2,26.2,3.7,Medium,2,35,7.3
CoralRobotics,HealthTech,Seed,44.78,22.6,358.4,641.8,123.5,11.5,Low,2,45,10.0
VaultSystems,Logistics,Series A,54.08,12.8,398.3,357.3,184.8,19.8,Low,4,15,6.7
MeridianAI,EdTech,Pre-Seed,3.7,52.5,73.0,332.8,215.4,5.1,High,9,56,4.2
OrbitLearning,HealthTech,Pre-Seed,3.89,12.8,258.6,229.5,101.0,23.7,Medium,8,21,9.9
EmberCloud,DeepTech / AI,Seed,31.77,8.8,154.1,136.6,186.6,4.3,Medium,1,6,12.2
KairosLearning,DeepTech / AI,Pre-Seed,7.69,4.8,135.9,477.8,172.1,7.9,Low,10,18,12.1
VerveNetworks,SaaS,Seed,37.1,15.5,562.8,901.0,181.9,8.0,Medium,3,45,13.0
MeridianTech,SaaS,Pre-Seed,4.97,33.8,87.0,281.4,131.4,5.8,Medium,2,59,7.4
TerraAI,Logistics,Series A,222.92,12.2,592.7,2254.9,11.9,20.2,Medium,2,59,5.9
NorthstarLearning,SaaS,Seed,13.55,10.6,150.1,342.2,175.0,20.9,High,8,19,16.7
FoundryLabs,SaaS,Seed,50.61,5.9,220.1,273.1,245.2,6.4,Medium,9,48,10.0
NimbusHealth,SaaS,Series A,219.67,5.2,50.5,121.7,142.6,12.0,Low,5,26,16.6
SolaceEnergy,Fintech,Series A,94.62,6.7,88.6,391.8,222.2,11.5,High,3,18,16.1
SolaceCloud,Consumer Internet,Series A,46.44,14.0,219.3,1131.8,202.5,21.1,Low,5,13,15.0
